# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 26 14:36:27 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_disc_reflink: Discovery Reference
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_kepflag,ra_str,ra,dec_str,dec,pl_disc_reflink
801,K2-115,K2-115 b,1,0,08h26m12.83s,126.553444,+12d16m55.0s,12.281936,<a refstr=SHPORER_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170807128S target=ref>Shporer et al. 2017</a>
802,K2-116,K2-116 b,1,0,22h24m36.39s,336.151611,-11d34m43.3s,-11.578691,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
803,K2-117,K2-117 b,2,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
804,K2-117,K2-117 c,2,0,08h55m25.36s,133.855682,+10d28m08.9s,10.469131,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
805,K2-118,K2-118 b,1,0,08h48m30.45s,132.126892,+15d39m21.5s,15.655983,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
806,K2-119,K2-119 b,1,0,08h48m02.34s,132.009735,+16d54m06.7s,16.901854,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
807,K2-12,K2-12 b,1,0,11h32m46.09s,173.192032,+02d14m41.6s,2.244884,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
808,K2-120,K2-120 b,1,0,08h48m34.32s,132.142990,+17d11m26.5s,17.190685,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
809,K2-121,K2-121 b,1,0,08h27m44.81s,126.936722,+17d34m45.8s,17.579397,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
810,K2-122,K2-122 b,1,0,08h25m54.31s,126.476311,+20d21m34.5s,20.359570,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
811,K2-123,K2-123 b,1,0,08h57m46.60s,134.444183,+21d27m12.7s,21.453533,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
812,K2-124,K2-124 b,1,0,08h54m33.89s,133.641190,+23d07m58.4s,23.132891,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
813,K2-125,K2-125 b,1,0,13h36m34.11s,204.142120,-14d56m51.4s,-14.947603,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
814,K2-126,K2-126 b,1,0,13h34m11.17s,203.546539,-13d34m36.9s,-13.576928,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
815,K2-127,K2-127 b,1,0,13h48m18.81s,207.078384,-11d35m20.3s,-11.588979,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
816,K2-128,K2-128 b,1,0,13h37m45.04s,204.437653,-08d35m49.4s,-8.597065,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
817,K2-129,K2-129 b,1,0,19h16m35.60s,289.148315,-25d38m41.9s,-25.644964,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
818,K2-13,K2-13 b,1,0,11h20m37.33s,170.155533,+02d30m09.7s,2.502696,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
819,K2-130,K2-130 b,1,0,19h21m04.86s,290.270264,-19d41m26.9s,-19.690807,<a refstr=DRESSING_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>
820,K2-131,K2-131 b,1,0,12h11m00.37s,182.751556,-09d45m54.8s,-9.765218,<a refstr=DAI_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv171000076D target=ref>Dai et al. 2017</a>
821,K2-132,K2-132 b,1,0,12h08m39.94s,182.166397,-08d44m49.8s,-8.747175,<a refstr=GRUNBLATT_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170605865G target=ref>Grunblatt et al. 2017</a>
822,K2-133,K2-133 b,3,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,<a refstr=WELLS_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
823,K2-133,K2-133 c,3,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,<a refstr=WELLS_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
824,K2-133,K2-133 d,3,0,04h40m35.66s,70.148567,+25d00m36.0s,25.010006,<a refstr=WELLS_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901025W target=ref>Wells et al. 2017</a>
825,K2-136,K2-136 b,3,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,<a refstr=MANN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
826,K2-136,K2-136 c,3,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,<a refstr=MANN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
827,K2-136,K2-136 d,3,0,04h29m38.99s,67.412460,+22d52m57.8s,22.882721,<a refstr=MANN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170910328M target=ref>Mann et al. 2017</a>
828,K2-137,K2-137 b,1,0,12h27m28.97s,186.870728,-06d11m42.8s,-6.195224,<a refstr=SMITH_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170704549S target=ref>Smith et al. 2017</a>
829,K2-138,K2-138 b,5,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,<a refstr=CHRISTIANSEN_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155...57C target=ref>Christiansen et al. 2018</a>
830,K2-138,K2-138 c,5,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,<a refstr=CHRISTIANSEN_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155...57C target=ref>Christiansen et al. 2018</a>
831,K2-138,K2-138 d,5,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,<a refstr=CHRISTIANSEN_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155...57C target=ref>Christiansen et al. 2018</a>
832,K2-138,K2-138 e,5,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,<a refstr=CHRISTIANSEN_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155...57C target=ref>Christiansen et al. 2018</a>
833,K2-138,K2-138 f,5,0,23h15m47.77s,348.949036,-10d50m58.9s,-10.849696,<a refstr=CHRISTIANSEN_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155...57C target=ref>Christiansen et al. 2018</a>
834,K2-139,K2-139 b,1,0,19h16m15.97s,289.066528,-17d54m38.5s,-17.910688,<a refstr=BARRAGAN_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017arXiv170200691B target=ref>Barragan et al. 2017</a>
835,K2-14,K2-14 b,1,0,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
836,K2-140,K2-140 b,1,0,12h32m32.96s,188.137344,-09d36m27.5s,-9.607640,<a refstr=GILES_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018MNRAS.475.1809G target=ref>Giles et al. 2018</a>
837,K2-141,K2-141 b,2,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,<a refstr=MALAVOLTA_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>
838,K2-141,K2-141 c,2,0,23h23m39.97s,350.916534,-01d11m21.4s,-1.189274,<a refstr=MALAVOLTA_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..107M target=ref>Malavolta et al. 2018</a>
839,K2-146,K2-146 b,1,0,08h40m06.43s,130.026779,+19d05m34.4s,19.092878,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
840,K2-147,K2-147 b,1,0,19h35m19.97s,293.833191,-28d29m52.2s,-28.497833,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
841,K2-148,K2-148 b,3,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
842,K2-148,K2-148 c,3,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
843,K2-148,K2-148 d,3,0,00h58m04.28s,14.517821,-00d11m35.4s,-0.193155,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
844,K2-149,K2-149 b,1,0,00h39m17.26s,9.821899,+07d16m37.6s,7.277100,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
845,K2-15,K2-15 b,1,0,11h52m26.59s,178.110794,+04d15m17.1s,4.254747,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
846,K2-150,K2-150 b,1,0,01h13m22.60s,18.344175,+08d59m15.1s,8.987539,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
847,K2-151,K2-151 b,1,0,01h17m13.09s,19.304525,+09d30m05.0s,9.501381,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
848,K2-152,K2-152 b,1,0,12h06m31.87s,181.632797,-05d49m38.7s,-5.827410,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
849,K2-153,K2-153 b,1,0,12h15m14.21s,183.809189,+02d01m15.4s,2.020953,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
850,K2-154,K2-154 b,2,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
851,K2-154,K2-154 c,2,0,12h36m00.36s,189.001511,-02d40m10.1s,-2.669481,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..127H target=ref>Hirano et al. 2018</a>
852,K2-155,K2-155 b,3,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..124H target=ref>Hirano et al. 2018</a>
853,K2-155,K2-155 c,3,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..124H target=ref>Hirano et al. 2018</a>
854,K2-155,K2-155 d,3,0,04h21m52.49s,65.468697,+21d21m13.0s,21.353600,<a refstr=HIRANO_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..124H target=ref>Hirano et al. 2018</a>
855,K2-156,K2-156 b,1,0,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
856,K2-157,K2-157 b,1,0,12h15m00.32s,183.751343,-05d46m55.2s,-5.781991,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
857,K2-158,K2-158 b,2,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
858,K2-158,K2-158 c,2,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,<a refstr=LIVINGSTON_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180611504L target=ref>Livingston et al. 2018</a>
859,K2-159,K2-159 b,1,0,12h02m09.81s,180.540894,-03d34m50.6s,-3.580723,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
860,K2-16,K2-16 b,2,0,11h40m23.34s,175.097260,+04d33m26.4s,4.557340,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
861,K2-16,K2-16 c,2,0,11h40m23.34s,175.097260,+04d33m26.4s,4.557340,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
862,K2-160,K2-160 b,1,0,12h16m13.10s,184.054581,-03d33m11.1s,-3.553082,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
863,K2-161,K2-161 b,1,0,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
864,K2-162,K2-162 b,1,0,12h24m09.28s,186.038666,-01d06m40.9s,-1.111351,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
865,K2-163,K2-163 b,1,0,12h09m19.04s,182.329346,-00d32m20.6s,-0.539055,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
866,K2-164,K2-164 b,1,0,11h27m44.08s,171.933670,-00d03m46.2s,-0.062840,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
867,K2-165,K2-165 b,3,0,12h19m36.08s,184.900330,+00d58m06.2s,0.968397,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
868,K2-165,K2-165 c,3,0,12h19m36.08s,184.900330,+00d58m06.2s,0.968397,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
869,K2-165,K2-165 d,3,0,12h19m36.08s,184.900330,+00d58m06.2s,0.968397,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
870,K2-166,K2-166 b,1,0,12h20m45.19s,185.188293,+02d16m56.8s,2.282436,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
871,K2-167,K2-167 b,1,0,22h26m18.19s,336.575775,-18d00m40.2s,-18.011171,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
872,K2-168,K2-168 b,1,0,22h12m26.37s,333.109894,-16d20m30.3s,-16.341755,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
873,K2-169,K2-169 b,1,0,22h28m10.63s,337.044281,-14d35m57.8s,-14.599381,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
874,K2-17,K2-17 b,1,0,11h53m19.15s,178.329773,+06d24m44.1s,6.412261,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
875,K2-170,K2-170 b,2,0,22h21m48.17s,335.450714,-14d35m35.8s,-14.593286,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
876,K2-170,K2-170 c,2,0,22h21m48.17s,335.450714,-14d35m35.8s,-14.593286,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
877,K2-171,K2-171 b,1,0,22h09m21.80s,332.340820,-13d25m43.9s,-13.428865,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
878,K2-172,K2-172 b,2,0,22h21m14.01s,335.308380,-12d33m24.8s,-12.556900,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
879,K2-172,K2-172 c,2,0,22h21m14.01s,335.308380,-12d33m24.8s,-12.556900,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
880,K2-173,K2-173 b,1,0,04h01m29.99s,60.374950,+15d37m30.1s,15.625037,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
881,K2-174,K2-174 b,1,0,04h03m10.28s,60.792843,+16d20m50.8s,16.347446,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
882,K2-175,K2-175 b,1,0,03h30m00.86s,52.503578,+17d35m03.1s,17.584192,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
883,K2-176,K2-176 b,1,0,03h53m04.60s,58.269165,+17d54m25.5s,17.907072,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
884,K2-177,K2-177 b,1,0,03h40m55.10s,55.229565,+20d44m09.9s,20.736078,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
885,K2-178,K2-178 b,1,0,03h31m33.33s,52.888882,+22d26m05.5s,22.434870,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
886,K2-179,K2-179 b,1,0,03h55m11.26s,58.796898,+23d45m24.5s,23.756807,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
887,K2-18,K2-18 b,2,0,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,<a refstr=MONTET_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>
888,K2-18,K2-18 c,2,0,11h30m14.51s,172.560455,+07d35m18.2s,7.588391,<a refstr=CLOUTIER_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017A&A...608A..35C target=ref>Cloutier et al. 2017</a>
889,K2-180,K2-180 b,1,0,08h25m51.34s,126.463936,+10d14m49.1s,10.246968,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
890,K2-181,K2-181 b,1,0,08h30m12.97s,127.554031,+10d54m37.1s,10.910294,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
891,K2-182,K2-182 b,1,0,08h40m43.28s,130.180328,+10d58m58.6s,10.982941,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
892,K2-183,K2-183 b,3,0,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
893,K2-183,K2-183 c,3,0,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
894,K2-183,K2-183 d,3,0,08h20m01.72s,125.007156,+14d01m10.1s,14.019461,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
895,K2-184,K2-184 b,1,0,08h36m33.63s,129.140106,+14d27m43.0s,14.461936,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
896,K2-185,K2-185 b,1,0,08h41m02.32s,130.259659,+14d41m25.2s,14.690320,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
897,K2-186,K2-186 b,1,0,09h01m20.39s,135.334976,+18d49m31.6s,18.825455,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
898,K2-187,K2-187 b,4,0,08h50m05.67s,132.523605,+23d11m33.4s,23.192600,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
899,K2-187,K2-187 c,4,0,08h50m05.67s,132.523605,+23d11m33.4s,23.192600,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
900,K2-187,K2-187 d,4,0,08h50m05.67s,132.523605,+23d11m33.4s,23.192600,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
901,K2-187,K2-187 e,4,0,08h50m05.67s,132.523605,+23d11m33.4s,23.192600,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
902,K2-188,K2-188 b,2,0,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
903,K2-188,K2-188 c,2,0,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
904,K2-189,K2-189 b,2,0,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
905,K2-189,K2-189 c,2,0,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,<a refstr=MAYO_ET_AL__2018 href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>
906,K2-19,K2-19 b,3,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,<a refstr=DAI_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>
907,K2-19,K2-19 c,3,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,<a refstr=DAI_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>
908,K2-19,K2-19 d,3,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,<a refstr=DAI_ET_AL__2016 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...823..115D target=ref>Dai et al. 2016</a>
